created_at,query,result_count,standards_referenced,no_strong_match,cached
2026-07-27 23:40:26,how do I light transition and circulation space?,50,"[""RP-10-20+E2"",""RP-28-25"",""RP-9-23"",""RP-2-20+E1"",""RP-30-25"",""LP-2-20"",""RP-29-25"",""RP-41-20+E1"",""LM-83-23"",""LP-1-24"",""LP-3-20+E1"",""LS-6-20+E1"",""LP-11-20"",""LP-4-20"",""LP-6-25"",""LP-9-25""]",0,0
2026-07-27 23:40:02,What's new in the latest version of RP-8?,4,"[""RP-8-25+E2"",""RP-8-22"",""RP-8-21""]",0,0
2026-07-27 23:35:48,ow do I light transition and circulation space?,50,"[""RP-10-20+E2"",""RP-9-23"",""RP-28-25"",""RP-2-20+E1"",""RP-41-20+E1"",""RP-29-25"",""RP-30-25"",""LP-2-20"",""LP-3-20+E1"",""LS-1"",""LS-6-20+E1"",""RP-4-20+E1"",""LM-83-23"",""LP-1-24"",""LP-11-20""]",0,0
2026-07-27 23:35:21,What's new in the latest version of RP-8?,7,"[""RP-8-25+E2"",""TM-30-24"",""RP-8-22"",""RP-8-21""]",0,1
2026-07-27 23:35:18,What's new in the latest version of RP-8?,7,"[""RP-8-25+E2"",""TM-30-24"",""RP-8-22"",""RP-8-21""]",0,1
2026-07-27 23:27:34,how do I light transition and circulation space?,50,"[""RP-10-20+E2"",""RP-28-25"",""RP-9-23"",""RP-2-20+E1"",""RP-30-25"",""LP-2-20"",""RP-29-25"",""RP-41-20+E1"",""LM-83-23"",""LP-1-24"",""LP-3-20+E1"",""LS-6-20+E1"",""LP-11-20"",""LP-4-20"",""LP-6-25"",""LP-9-25""]",0,1
2026-07-27 23:27:16,What's new in the latest version of RP-8?,7,"[""RP-8-25+E2"",""TM-30-24"",""RP-8-22"",""RP-8-21""]",0,1
2026-07-27 23:27:13,What's new in the latest version of RP-8?,7,"[""RP-8-25+E2"",""TM-30-24"",""RP-8-22"",""RP-8-21""]",0,1
2026-07-27 23:08:26,how do I light transition and circulation space?,50,"[""RP-10-20+E2"",""RP-28-25"",""RP-9-23"",""RP-2-20+E1"",""RP-30-25"",""LP-2-20"",""RP-29-25"",""RP-41-20+E1"",""LM-83-23"",""LP-1-24"",""LP-3-20+E1"",""LS-6-20+E1"",""LP-11-20"",""LP-4-20"",""LP-6-25"",""LP-9-25""]",0,0
2026-07-27 23:08:02,What's new in the latest version of RP-8?,7,"[""RP-8-25+E2"",""TM-30-24"",""RP-8-22"",""RP-8-21""]",0,0
