"Priority 1 = Required for release
Priority 2 = Strongly preferred for release
Priority 3 = Deferred roll-out acceptable",,,,,,,,,
,,,,,,,,,
Feature,Priority,Notes,See pdf,Page,,,,,
AI Agent: instructions,1,"See notes; discuss gaps, limitations.
Especially note #4, #5, #6",IS-AI Prototype_260403.pdf,1,,,,,
AI Agent: Priority Sources to be indexed,1,"Current standards
Deprecated standards (never to be indexed for external API use)",IS-AI Prototype_260403.pdf,1,,,,,
AI Agent: Future Sources to be indexed,3,"ies.org resources (calendar, eLearning, Leukos, etc)
IES section websites & events
Wicket: sections, technical committee rosters",IS-AI Prototype_260403.pdf,1,,,,,
AI search results: 'sections',1,"GOAL: AI agent helps user find content, but primarily displays unaltered screenshots and annotated excerpts directly from IES standards.  It should be visually clear which content on the page is directly transcribed, and what is generated by AI natural language.  For this reason, all search result examples are broken into sections; each drives user back to the relevant page of a standard in Vitrium.  ",IS-AI Prototype_260403.pdf,2,,,,,
AI search results: natural language responses,1,"In addition to transcribed/annotated excerpts, a natural language response should be provided.  It should not appear within AI agent window at top of screen if possible, but rather below excerpts.  Require users to acknowledge a disclaimer to view. Watermark content if possible",IS-AI Prototype_260403.pdf,2,,,,,
AI search results page: discourage copy/paste/print,2,,IS-AI Prototype_260403.pdf,2,,,,,
Indexing: should allow links directly to the relevant page in Vitrium document,1,Train on a separate database of PDFs on IES server,IS-AI Prototype_260403.pdf,2,,,,,
AI Search Results: Illuminance Tables must be presented accurately and fully,1,"Discuss preferred table format for accurate machine reading.  Must be capable of extracting full header (typically 3-4 rows), relevant application rows with all columns, plus all referenced footnotes - for each search result.  Hyperlinks to table in Vitrium document.",IS-AI Prototype_260403.pdf,2,,,,,
AI Search Results: highlight most relevant text in excerpts from standards,2,AI to auto-highlight most relevant portions of transcribed content,IS-AI Prototype_260403.pdf,2,,,,,
"AI Search results: ability to present an image, table or graphic as a search result where relevant",3,"Example: a search for ""what is the formular for ___"" may return an image or screenshot of a formula from the standard",IS-AI Prototype_260403.pdf,,,,,,
AI search integrated into Vitrium,1,"We have innate control over a bar near top of page (html etc).  We aren't 'deleting' the built-in Vitrium search so we need a graphical prominence that draws users to the AI tool.
Open search in popup??",Vitrium Home Prototype_260403.pdf,1,,,,,
Tool to convert user's xfdf annotation file to Excel,3,Permits limited 'download' permission for user's content and truncated quoted text,Vitrium Home Prototype_260403.pdf,2,,,,,
Links to committee members Contributor Pages or LinkedIn,3,"If user is logged-in as IES member, they can click author names and find more information about them in a directory or their personal LinkedIn",Vitrium Home Prototype_260403.pdf,2,,,,,
AI Search: Submit request for lighting recommendations for multiple applications in a single query,3,"See search example, page 3",Vitrium Home Prototype_260403.pdf,3,,,,,
AI Search: document version comparison,2,See notes on page 5.  Allow users to discover what has changed in an update to a standard.  Data regarding deprecated standards will likely will not be made available to external API calls.,Vitrium Home Prototype_260403.pdf,5,,,,,
Integrate AI search into ies.org,3,"Library subscribers would see full AI search results plus website search
Non-subscribers would only see recommended purchases plus website search",Webstore Prototype_260403.pdf,1,,,,,
Auto-populate webstore listings from Vitrium document metadata,2,,Webstore Prototype_260403.pdf,1,,,,,
Auto-populate list of committee members and their roles for webstore listings,3,lookup 'Author'=committee in doc metadata; reference to Wicket committee roster,Webstore Prototype_260403.pdf,1,,,,,
Preview document' thumbnail/link auto-populated in webstore,2,Staff to create a limited 'Preview' pdf for each standard; public viewing permissions,Webstore Prototype_260403.pdf,1,,,,,
Enable multi-user purchasing & licensing on webstore,1,,Webstore Prototype_260403.pdf,3,,,,,
Develop a way for staff to bulk-create IES accounts in order to bulk-assign Vitrium permissions,2,"Not necessary for standard purchases, but would be necessary for us to allow a full class of students or an audience to acquire viewing permissions for a 1-time event, etc.  Staff would need to enter their email addresses into Vitrium.  ",Webstore Prototype_260403.pdf,3,,,,,
Sustaining Oranization checkout: assign users and allow additional Lighting Library user purchase at checkout,1,Note: each Sustaining Organization level may have a different % discount for purchasing additional Lighting Library users beyond their benefit qty,Webstore Prototype_260403.pdf,5,,,,,
